GMT	(GMT) Casablanca, Monrovia						Greenwich (standaardtijd)
GDST	(GMT) Greenwich Mean Time; Dublin, Edinburgh, Lissabon, Londen		GMT
WEUR	(GMT+01:00) Amsterdam, Berlijn, Bern, Rome, Stockholm, Wenen		West-Europa
CEUR1	(GMT+01:00) Belgrado, Bratislava, Boedapest, Ljubljana, Praag		Centraal Europa
ROM	(GMT+01:00) Brussel, Kopenhagen, Madrid, Parijs, Vilnius		Romaans
CEUR2	(GMT+01:00) Sarajevo, Skopje, Sofia, Warschau, Zagreb			Centraal Europa
WCAFR	(GMT+01:00) West Centraal Afrika					West Centraal Afrika
GTB	(GMT+02:00) Athene, Istanboel, Minsk					GTB
EEUR	(GMT+02:00) Boekarest							Oost-Europa
EGYPT	(GMT+02:00) Cairo							Egypte
SAFR	(GMT+02:00) Harare, Pretoria						Zuid Afrika
FLE	(GMT+02:00) Helsinki, Riga, Tallinn					FLE
JERUS	(GMT+02:00) Jeruzalem							Jeruzalem
ARAB1	(GMT+03:00) Bagdad, Koeweit, Riaad					Saoedi Arabië
ARAB2	(GMT+03:00) Kuwait, Riyadh						Arab
RUSS	(GMT+03:00) Moskou, St-Petersburg, Volgograd				Rusland
EAFR	(GMT+03:00) Nairobi							E. Africa Time
IRAN	(GMT+03:30) Teheran							Iran
ARAB3	(GMT+04:00) Abu Dhabi, Muscat						Arabië
CAUCA	(GMT+04:00) Bakoe,Tiflis						Kaukasus
AFGH	(GMT+04:30) Kabul							Afghanistan
EKAT	(GMT+05:00) Ekaterinburg						Ekaterinburg
WASIA	(GMT+05:00) Islamabad, Karachi, Tasjkent				West-Azië
INDIA	(GMT+05:30) Bombay, Calcutta, Madras, New Delhi				India
NEPAL	(GMT+05:45) Kathmandu							Nepal
NCAS	(GMT+06:00) Almaty, Novosibirsk						N. Central Asia	
CASIA	(GMT+06:00) Astana, Dhaka						Central Asia	
SRI	(GMT+06:00) Colombo							Sri Lanka
MYAN	(GMT+06:30) Rangoon							Myanmar
SEAS	(GMT+07:00) Bangkok, Hanoi, Jakarta					Zuidoost Azië
NASIA	(GMT+07:00) Krasnoyarsk							North Asia
CHINA	(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi			China				
NEAS	(GMT+08:00) Irkutsk, Ulaan Bataar					North East Asia		
MALAY	(GMT+08:00) Singapore							Singapore
WAUS	(GMT+08:00) Perth							West-Australië
TAIPE	(GMT+08:00) Taipei							Taipei
JAPAN	(GMT+09:00) Osaka, Sapporo, Tokio					Tokio
KOREA	(GMT+09:00) Seoul							Korea
YAKUT	(GMT+09:00) Jakoetsk							Jakoetsk
CAUS	(GMT+09:30) Adelaide							Cen. Australia
AUSC	(GMT+09:30) Darwin							AUS Central
EAUS	(GMT+10:00) Brisbane							Oost-Australië
AUSE	(GMT+10:00) Canberra, Melbourne, Sydney					AUS Oost
WPAS	(GMT+10:00) Guam, Port Moresby						West-Pacific
TASM	(GMT+10:00) Hobart							Tasmanië
VLAD	(GMT+10:00) Vladivostok							Vladivostok
CPAS	(GMT+11:00) Magadan, Soloman-eilanden, Nieuw-Caledonië			Central Pacific
NZEA	(GMT+12:00) Auckland, Wellington					Nieuw-Zeeland
FIJI	(GMT+12:00) Fiji, Kamtsjatka, Marshall Is.				Fiji
TONGA	(GMT+13:00) Nuku'alofa							Tonga
AROZE	(GMT-01:00) Azoren							Azoren
CAPE	(GMT-01:00) Kaapverdië							Kaapverdië
MATL	(GMT-02:00) Mid-Atlantic						Mid-Atlantic
ESAM	(GMT-03:00) Brasilia							E. South America
SAME	(GMT-03:00) Buenos-Aires, Georgetown					SA Eastern
GREEN	(GMT-03:00) Groenland							Groenland
NEWF	(GMT-03:30) Newfoundland						Newfoundland
ALTL	(GMT-04:00) Atlantic Time (Canada)					Atlantic
SAMW	(GMT-04:00) Caracas, La Paz						SA Western Time
PASSA	(GMT-04:00) Santiago							Pacific SA
SEPAS	(GMT-05:00) Bogota, Lima, Quito						SA Pacific
EAST	(GMT-05:00) Eastern Time (VS en Canada)					Eastern Time
USEAS	(GMT-05:00) Indiana (oost)						VS Eastern
CAM	(GMT-06:00) Central America						Central America	
CENTR	(GMT-06:00) Central Time (VS en Canada)					Central Time
MAX	(GMT-06:00) Mexico Stad, Tegucigalpa					Mexico
CANC	(GMT-06:00) Saskatchewan						Canada Central
USMOU	(GMT-07:00) Arizona							VS Mountain
MOUNT	(GMT-07:00) Mountain Time (VS en Canada)				Mountain Time
PAS	(GMT-08:00) Pacific Time (VS en Canada); Tijuana			Pacific
ALASK	(GMT-09:00) Alaska							Alaska
HAWAI	(GMT-10:00) Hawaii							Hawaii
SAMOA	(GMT-11:00) Midway-eiland, Samoa					Samoa
DATE	(GMT-12:00) Eniwetok, Kwajalein						Datumgrens
